target_id,source_name,ra_hms,dec_dms,ra_deg,dec_deg,velocity_km_s,eligible_gbt,eligible_eff,eligible_srt,gbt_group,status,assigned_telescope,spectrum_url,observations_count,notes
galexascj00002,GALEXASCJ00002,00:00:21.2,+31:01:17.9,0.08833333,31.02163889,566.0,True,True,True,Group01,observed,GBT,spectra/demo-galexascj00002.svg,1,DEMO observation for interface testing
ugc12894,UGC12894,00:00:22.6,+39:29:43.8,0.09416667,39.4955,334.9,True,True,True,Group11,observed,EFF,spectra/demo-ugc12894.svg,1,DEMO observation for interface testing
ugc12893,UGC12893,00:00:28.5,+17:13:12.8,0.11875,17.22022222,1097.0,True,True,True,Group01,observed,SRT,spectra/demo-ugc12893.svg,1,DEMO observation for interface testing
wiseaj000103-0,WISEAJ000103.0,00:01:03.0,-26:05:21.5,0.2625,-26.08930556,400.0,True,False,True,Group01,observed,GBT,spectra/demo-wiseaj000103-0.svg,1,DEMO observation for interface testing
ic5377,IC5377,00:02:05.5,+16:35:25.1,0.52291667,16.59030556,1051.1,True,True,True,Group01,observed,EFF,spectra/demo-ic5377.svg,1,DEMO observation for interface testing
wiseaj000232-7,WISEAJ000232.7,00:02:32.8,-21:46:11.3,0.63666667,-21.76980556,969.5,True,False,True,Group01,unobserved,,,0,
ugc00017,UGC00017,00:03:43.2,+15:13:07.7,0.93,15.21880556,876.9,True,True,True,Group01,observed,GBT,,1,"TEST TEST TEST This is not a real observation, but just a test of the observing report submission system. Submitted via GitHub issue #2 by @dpesce."
ugc00031,UGC00031,00:04:52.0,+17:11:32.2,1.21666667,17.19227778,1034.0,True,True,True,Group01,unobserved,,,0,
eso409-ig015,ESO409-IG015,00:05:31.9,-28:05:53.1,1.38291667,-28.09808333,737.2,True,False,True,Group01,unobserved,,,0,
eso472-g015,ESO472-G015,00:06:48.4,-24:56:41.1,1.70166667,-24.94475,689.5,True,False,True,Group01,unobserved,,,0,
lsbgf409-005,LSBGF409-005,00:07:13.1,-27:23:12.0,1.80458333,-27.38666667,235.3,True,False,True,Group01,unobserved,,,0,
ugc00064,UGC00064,00:07:43.9,+40:52:32.9,1.93291667,40.87580556,273.1,True,True,True,Group11,unobserved,,,0,
ugc00063,UGC00063,00:07:50.6,+35:57:58.3,1.96083333,35.96619444,441.0,True,True,True,Group01,unobserved,,,0,
ngc0014,NGC0014,00:08:46.4,+15:48:56.3,2.19333333,15.81563889,863.1,True,True,True,Group01,unobserved,,,0,
wiseaj000903-3,WISEAJ000903.3,00:09:03.3,+25:27:50.4,2.26375,25.464,1393.0,False,True,True,,unobserved,,,0,
kug0007-154,KUG0007+154,00:09:53.0,+15:44:04.6,2.47083333,15.73461111,872.5,True,True,True,Group01,unobserved,,,0,
ngc0024,NGC0024,00:09:56.5,-24:57:47.6,2.48541667,-24.96322222,554.0,True,False,True,Group01,unobserved,,,0,
ugc00090,UGC00090,00:10:01.7,+16:56:26.0,2.50708333,16.94055556,908.1,True,True,True,Group01,unobserved,,,0,
ngc0045,NGC0045,00:14:04.0,-23:10:55.4,3.51666667,-23.18205556,467.1,True,False,True,Group01,unobserved,,,0,
ngc0059,NGC0059,00:15:25.2,-21:26:40.2,3.855,-21.4445,367.6,True,False,True,Group01,unobserved,,,0,
ugc00156,UGC00156,00:16:48.1,+12:20:53.0,4.20041667,12.34805556,1135.9,False,True,True,,unobserved,,,0,
ugc00159,UGC00159,00:17:16.0,+17:31:20.8,4.31666667,17.52244444,1007.0,True,True,True,Group01,unobserved,,,0,
wiseaj001722-8,WISEAJ001722.8,00:17:22.8,+17:41:54.9,4.345,17.69858333,947.6,True,True,True,Group01,unobserved,,,0,
ngc0063,NGC0063,00:17:45.5,+11:27:01.1,4.43958333,11.45030556,1159.9,False,True,True,,unobserved,,,0,
mcg-04-02-003,MCG-04-02-003,00:19:11.4,-22:40:03.9,4.7975,-22.66775,670.0,True,False,True,Group01,unobserved,,,0,
ugc00191,UGC00191,00:20:05.0,+10:52:44.9,5.02083333,10.87913889,1143.1,False,True,True,,unobserved,,,0,
sdssj002041-45,SDSSJ002041.45,00:20:41.3,+08:37:00.9,5.17208333,8.61691667,692.0,True,True,True,Group01,unobserved,,,0,
ngc0100,NGC0100,00:24:03.0,+16:29:13.6,6.0125,16.48711111,843.9,True,True,True,Group01,unobserved,,,0,
um038,UM038,00:27:51.5,+03:29:22.8,6.96458333,3.48966667,1382.9,False,True,True,,unobserved,,,0,
um040,UM040,00:28:26.5,+05:00:14.6,7.11041667,5.00405556,1341.0,False,True,True,,unobserved,,,0,
ugc00288,UGC00288,00:29:03.4,+43:25:52.9,7.26416667,43.43136111,187.4,True,True,True,Group11,unobserved,,,0,
ugc00290,UGC00290,00:29:08.4,+15:53:56.9,7.285,15.89913889,766.9,True,True,True,Group01,unobserved,,,0,
galexascj00295,GALEXASCJ00295,00:29:51.2,-16:09:53.3,7.46333333,-16.16480556,723.0,True,True,True,Group01,unobserved,,,0,
ugc00300,UGC00300,00:30:03.9,+03:30:45.8,7.51625,3.51272222,1344.9,False,True,True,,unobserved,,,0,
eso539-g015,ESO539-G015,00:32:48.2,-18:35:17.6,8.20083333,-18.58822222,1328.1,False,True,True,,unobserved,,,0,
cgcg409-040,CGCG409-040,00:34:48.9,+07:27:01.1,8.70375,7.45030556,554.9,True,True,True,Group01,unobserved,,,0,
wiseaj004129-4,WISEAJ004129.4,00:41:29.4,+22:02:30.7,10.3725,22.04186111,812.0,True,True,True,Group01,unobserved,,,0,
ic1574,IC1574,00:43:03.6,-22:14:35.3,10.765,-22.24313889,361.0,True,False,True,Group01,unobserved,,,0,
wiseaj004335-4,WISEAJ004335.4,00:43:35.5,-26:03:22.5,10.89791667,-26.05625,1259.0,False,False,True,,unobserved,,,0,
ngc0244,NGC0244,00:45:46.4,-15:35:48.7,11.44333333,-15.59686111,941.0,True,True,True,Group01,unobserved,,,0,
galexmscj00464,GALEXMSCJ00464,00:46:48.9,+00:35:56.5,11.70375,0.59902778,1013.0,True,True,True,Group01,unobserved,,,0,
ngc0247,NGC0247,00:47:08.3,-20:45:37.6,11.78458333,-20.76044444,174.0,True,False,True,Group01,unobserved,,,0,
ngc0253,NGC0253,00:47:33.1,-25:17:17.1,11.88791667,-25.28808333,241.9,True,False,True,Group01,unobserved,,,0,
ugca014,UGCA014,00:47:47.5,-09:53:58.1,11.94791667,-9.89947222,1344.0,False,True,True,,unobserved,,,0,
2mfgc00574,2MFGC00574,00:47:54.3,+68:07:43.3,11.97625,68.12869444,1272.9,False,True,True,,unobserved,,,0,
eso540-g030,ESO540-G030,00:49:21.0,-18:04:31.5,12.3375,-18.07541667,223.5,True,True,True,Group01,unobserved,,,0,
