GALEXASCJ00002; Group01; Equatorial; J2000; 00:00:21.2; +31:01:17.9; Heliocentric; Optical; 566.0; N;
UGC12894; Group11; Equatorial; J2000; 00:00:22.6; +39:29:43.8; Heliocentric; Optical; 334.9; N;
UGC12893; Group01; Equatorial; J2000; 00:00:28.5; +17:13:12.8; Heliocentric; Optical; 1097.0; N;
WISEAJ000103.0; Group01; Equatorial; J2000; 00:01:03.0; -26:05:21.5; Heliocentric; Optical; 400.0; N;
IC5377; Group01; Equatorial; J2000; 00:02:05.5; +16:35:25.1; Heliocentric; Optical; 1051.1; N;
WISEAJ000232.7; Group01; Equatorial; J2000; 00:02:32.8; -21:46:11.3; Heliocentric; Optical; 969.5; N;
UGC00017; Group01; Equatorial; J2000; 00:03:43.2; +15:13:07.7; Heliocentric; Optical; 876.9; N;
UGC00031; Group01; Equatorial; J2000; 00:04:52.0; +17:11:32.2; Heliocentric; Optical; 1034.0; N;
ESO409-IG015; Group01; Equatorial; J2000; 00:05:31.9; -28:05:53.1; Heliocentric; Optical; 737.2; N;
ESO472-G015; Group01; Equatorial; J2000; 00:06:48.4; -24:56:41.1; Heliocentric; Optical; 689.5; N;
LSBGF409-005; Group01; Equatorial; J2000; 00:07:13.1; -27:23:12.0; Heliocentric; Optical; 235.3; N;
UGC00064; Group11; Equatorial; J2000; 00:07:43.9; +40:52:32.9; Heliocentric; Optical; 273.1; N;
UGC00063; Group01; Equatorial; J2000; 00:07:50.6; +35:57:58.3; Heliocentric; Optical; 441.0; N;
NGC0014; Group01; Equatorial; J2000; 00:08:46.4; +15:48:56.3; Heliocentric; Optical; 863.1; N;
KUG0007+154; Group01; Equatorial; J2000; 00:09:53.0; +15:44:04.6; Heliocentric; Optical; 872.5; N;
NGC0024; Group01; Equatorial; J2000; 00:09:56.5; -24:57:47.6; Heliocentric; Optical; 554.0; N;
UGC00090; Group01; Equatorial; J2000; 00:10:01.7; +16:56:26.0; Heliocentric; Optical; 908.1; N;
NGC0045; Group01; Equatorial; J2000; 00:14:04.0; -23:10:55.4; Heliocentric; Optical; 467.1; N;
NGC0059; Group01; Equatorial; J2000; 00:15:25.2; -21:26:40.2; Heliocentric; Optical; 367.6; N;
UGC00159; Group01; Equatorial; J2000; 00:17:16.0; +17:31:20.8; Heliocentric; Optical; 1007.0; N;
WISEAJ001722.8; Group01; Equatorial; J2000; 00:17:22.8; +17:41:54.9; Heliocentric; Optical; 947.6; N;
MCG-04-02-003; Group01; Equatorial; J2000; 00:19:11.4; -22:40:03.9; Heliocentric; Optical; 670.0; N;
SDSSJ002041.45; Group01; Equatorial; J2000; 00:20:41.3; +08:37:00.9; Heliocentric; Optical; 692.0; N;
NGC0100; Group01; Equatorial; J2000; 00:24:03.0; +16:29:13.6; Heliocentric; Optical; 843.9; N;
UGC00288; Group11; Equatorial; J2000; 00:29:03.4; +43:25:52.9; Heliocentric; Optical; 187.4; N;
UGC00290; Group01; Equatorial; J2000; 00:29:08.4; +15:53:56.9; Heliocentric; Optical; 766.9; N;
GALEXASCJ00295; Group01; Equatorial; J2000; 00:29:51.2; -16:09:53.3; Heliocentric; Optical; 723.0; N;
CGCG409-040; Group01; Equatorial; J2000; 00:34:48.9; +07:27:01.1; Heliocentric; Optical; 554.9; N;
WISEAJ004129.4; Group01; Equatorial; J2000; 00:41:29.4; +22:02:30.7; Heliocentric; Optical; 812.0; N;
IC1574; Group01; Equatorial; J2000; 00:43:03.6; -22:14:35.3; Heliocentric; Optical; 361.0; N;
NGC0244; Group01; Equatorial; J2000; 00:45:46.4; -15:35:48.7; Heliocentric; Optical; 941.0; N;
GALEXMSCJ00464; Group01; Equatorial; J2000; 00:46:48.9; +00:35:56.5; Heliocentric; Optical; 1013.0; N;
NGC0247; Group01; Equatorial; J2000; 00:47:08.3; -20:45:37.6; Heliocentric; Optical; 174.0; N;
NGC0253; Group01; Equatorial; J2000; 00:47:33.1; -25:17:17.1; Heliocentric; Optical; 241.9; N;
ESO540-G030; Group01; Equatorial; J2000; 00:49:21.0; -18:04:31.5; Heliocentric; Optical; 223.5; N;
UGCA015; Group01; Equatorial; J2000; 00:49:48.9; -21:00:59.9; Heliocentric; Optical; 294.7; N;
ESO540-G032; Group01; Equatorial; J2000; 00:50:24.3; -19:54:24.2; Heliocentric; Optical; 228.1; N;
UGC00521; Group01; Equatorial; J2000; 00:51:12.3; +12:01:31.6; Heliocentric; Optical; 657.1; N;
WISEAJ005156.7; Group01; Equatorial; J2000; 00:51:56.8; +11:51:55.7; Heliocentric; Optical; 671.5; N;
NGC0278; Group11; Equatorial; J2000; 00:52:04.3; +47:33:01.7; Heliocentric; Optical; 626.6; N;
WISEAJ005404.8; Group11; Equatorial; J2000; 00:54:04.9; +56:51:59.3; Heliocentric; Optical; 840.6; N;
GALEXASCJ00550; Group01; Equatorial; J2000; 00:55:01.0; -23:10:08.9; Heliocentric; Optical; 249.6; N;
NGC0337A; Group01; Equatorial; J2000; 01:01:33.9; -07:35:17.7; Heliocentric; Optical; 1073.9; N;
MCG-01-03-085; Group01; Equatorial; J2000; 01:05:04.9; -06:12:43.7; Heliocentric; Optical; 1094.8; N;
UGC00676; Group01; Equatorial; J2000; 01:06:10.1; +01:14:00.2; Heliocentric; Optical; 6.5; N;
WISEAJ010719.0; Group01; Equatorial; J2000; 01:07:19.1; +21:43:13.2; Heliocentric; Optical; 310.3; N;
UGC00685; Group01; Equatorial; J2000; 01:07:22.4; +16:41:04.4; Heliocentric; Optical; 155.9; N;
WISEAJ010732.4; Group11; Equatorial; J2000; 01:07:32.4; +51:26:25.4; Heliocentric; Optical; 60.9; N;
UGC00695; Group01; Equatorial; J2000; 01:07:46.4; +01:03:49.2; Heliocentric; Optical; 645.2; N;
WISEAJ010909.9; Group01; Equatorial; J2000; 01:09:09.9; +01:17:31.6; Heliocentric; Optical; 1094.0; N;
UGC00731; Group11; Equatorial; J2000; 01:10:44.0; +49:36:07.6; Heliocentric; Optical; 638.9; N;
WISEAJ011250.5; Group01; Equatorial; J2000; 01:12:50.6; +01:52:09.1; Heliocentric; Optical; 1089.0; N;
WISEAJ011457.6; Group01; Equatorial; J2000; 01:14:57.6; +00:09:37.3; Heliocentric; Optical; 80.9; N;
SDSSJ011658.72; Group01; Equatorial; J2000; 01:16:58.8; +00:22:59.9; Heliocentric; Optical; 500.7; N;
UGC00891; Group01; Equatorial; J2000; 01:21:19.0; +12:24:45.0; Heliocentric; Optical; 643.1; N;
CGCG385-151; Group01; Equatorial; J2000; 01:28:02.1; -00:44:17.9; Heliocentric; Optical; 965.0; N;
UGC01056; Group01; Equatorial; J2000; 01:28:47.4; +16:41:18.3; Heliocentric; Optical; 595.1; N;
SDSSJ013018.33; Group01; Equatorial; J2000; 01:30:18.3; +00:01:25.6; Heliocentric; Optical; 471.0; N;
LSBCF683-V10; Group01; Equatorial; J2000; 01:30:31.9; +11:29:25.0; Heliocentric; Optical; 975.0; N;
UGC01085; Group01; Equatorial; J2000; 01:31:18.9; +07:47:15.3; Heliocentric; Optical; 650.8; N;
UGC01104; Group01; Equatorial; J2000; 01:32:42.5; +18:19:00.8; Heliocentric; Optical; 688.0; N;
WISEAJ013259.7; Group01; Equatorial; J2000; 01:32:59.8; +14:22:26.0; Heliocentric; Optical; 658.3; N;
SDSSJ013334.68; Group01; Equatorial; J2000; 01:33:34.7; +00:03:14.5; Heliocentric; Optical; 275.8; N;
WISEAJ013451.6; Group11; Equatorial; J2000; 01:34:51.6; +52:05:30.9; Heliocentric; Optical; 52.8; N;
GALEXASCJ01363; Group01; Equatorial; J2000; 01:36:35.8; +23:48:55.5; Heliocentric; Optical; 561.0; N;
UGC01171; Group01; Equatorial; J2000; 01:39:44.8; +15:53:58.8; Heliocentric; Optical; 738.4; N;
UGC01175; Group01; Equatorial; J2000; 01:39:56.4; +11:05:51.0; Heliocentric; Optical; 727.9; N;
UGC01176; Group01; Equatorial; J2000; 01:40:09.9; +15:54:17.0; Heliocentric; Optical; 630.5; N;
IC0148; Group01; Equatorial; J2000; 01:42:27.0; +13:58:37.4; Heliocentric; Optical; 767.2; N;
UGC01200; Group01; Equatorial; J2000; 01:42:48.3; +13:09:21.6; Heliocentric; Optical; 807.9; N;
GALEXASCJ01453; Group01; Equatorial; J2000; 01:45:31.9; +16:21:40.4; Heliocentric; Optical; 692.7; N;
WISEAJ014548.0; Group01; Equatorial; J2000; 01:45:48.0; +16:22:39.5; Heliocentric; Optical; 724.4; N;
GALEXMSCJ01464; Group01; Equatorial; J2000; 01:46:42.1; +26:48:09.0; Heliocentric; Optical; 366.0; N;
UGC01246; Group01; Equatorial; J2000; 01:47:00.6; +12:24:19.5; Heliocentric; Optical; 801.9; N;
IC1727; Group01; Equatorial; J2000; 01:47:29.9; +27:20:02.1; Heliocentric; Optical; 345.1; N;
